ID,Name,Age,Department,Salary,Salary_sqrt,Salary_log,Age_sqrt,Age_log,Salary_Category,Age_Group
497,Charlie Martinez,45,IT,39866,199.66471896657157,10.593304192999618,6.708203932499369,3.828641396489095,Low,Middle
395,Diana Smith,49,Finance,73108,270.3849108215915,11.199706757174393,7.0,3.912023005428146,Medium,Senior
590,Diana Davis,41,Finance,76486,276.5610240073608,11.244876070733577,6.4031242374328485,3.7376696182833684,Medium,Middle
918,Charlie Jones,58,HR,36971,192.27844392963036,10.517916148384668,7.615773105863909,4.07753744390572,Low,Senior
654,George Rodriguez,26,Marketing,103445,321.6286678764814,11.546805016403907,5.0990195135927845,3.295836866004329,High,Young
562,Ethan Jones,30,Sales,60841,246.65968458586823,11.016035618942716,5.477225575051661,3.4339872044851463,Medium,Young
852,Diana Miller,58,Finance,87326,295.50972911225784,11.37741497236152,7.615773105863909,4.07753744390572,High,Senior
1474,Bob Garcia,23,Sales,103616,321.89439261969136,11.548456688009884,4.795831523312719,3.1780538303479458,High,Young
397,Fiona Brown,58,IT,64171,253.31995578714285,11.069322257470967,7.615773105863909,4.07753744390572,Medium,Senior
556,Diana Rodriguez,38,Operations,76804,277.13534599541794,11.249025021183247,6.164414002968976,3.6635616461296463,Medium,Middle
35,Bob Rodriguez,28,Finance,111040,333.22664959453647,11.617654781463768,5.291502622129181,3.367295829986474,High,Young
965,Fiona Rodriguez,59,Marketing,56819,238.36736353788032,10.947643655408179,7.681145747868608,4.0943445622221,Medium,Senior
438,George Williams,26,Operations,34798,186.54222042208033,10.457343929717506,5.0990195135927845,3.295836866004329,Low,Young
706,Alice Brown,47,Marketing,105054,324.12034801906526,11.56223930152315,6.855654600401044,3.871201010907891,High,Senior
440,Diana Garcia,55,Marketing,59300,243.51591323771842,10.990381448250039,7.416198487095663,4.02535169073515,Medium,Senior
238,Ethan Miller,51,IT,40756,201.88115315699977,10.615382883057766,7.14142842854285,3.9512437185814275,Low,Senior
540,Bob Davis,37,IT,46905,216.57562189683307,10.755900878021523,6.082762530298219,3.6375861597263857,Low,Middle
927,Bob Miller,51,Sales,95794,309.50605809902976,11.469965770530093,7.14142842854285,3.9512437185814275,High,Senior
498,Fiona Brown,56,HR,100067,316.3336845800649,11.513605233874985,7.483314773547883,4.04305126783455,High,Senior
351,Hannah Williams,46,Marketing,47347,217.59365799581568,10.765279859073784,6.782329983125268,3.8501476017100584,Low,Senior
80,Fiona Martinez,50,Marketing,107714,328.1981109025462,11.587244129212527,7.0710678118654755,3.9318256327243257,High,Senior
942,John Brown,32,IT,85661,292.6790050550261,11.358164599017275,5.656854249492381,3.4965075614664802,High,Middle
470,George Williams,50,Finance,118789,344.65780130442425,11.685112507283586,7.0710678118654755,3.9318256327243257,High,Senior
614,Diana Jones,62,Finance,79666,282.25166075685013,11.285610726337204,7.874007874011811,4.143134726391533,Medium,Senior
381,Diana Martinez,60,Operations,89474,299.12204866910093,11.401714535634227,7.745966692414834,4.110873864173311,High,Senior
456,Bob Martinez,45,HR,60911,246.80153970346296,11.01718547862228,6.708203932499369,3.828641396489095,Medium,Middle
584,Charlie Williams,47,Finance,43057,207.50180722104568,10.670303323021274,6.855654600401044,3.871201010907891,Low,Senior
862,Alice Miller,52,Finance,48708,220.69888989299426,10.793619096924486,7.211102550927978,3.970291913552122,Low,Senior
647,Alice Rodriguez,34,Operations,53762,231.86634080866503,10.892340777211498,5.830951894845301,3.5553480614894135,Medium,Middle
873,John Brown,23,Operations,48133,219.39234261933575,10.78174406709235,4.795831523312719,3.1780538303479458,Low,Young
936,Fiona Martinez,56,IT,63380,251.75384803414624,11.056919410968344,7.483314773547883,4.04305126783455,Medium,Senior
225,Jane Garcia,28,IT,84253,290.26367323521555,11.341591324832383,5.291502622129181,3.367295829986474,High,Young
200,Fiona Johnson,25,Marketing,70390,265.3111381001559,11.161820693064698,5.0,3.258096538021482,Medium,Young
430,Diana Martinez,42,Finance,77076,277.62564723022257,11.252560201168905,6.48074069840786,3.7612001156935624,Medium,Middle
670,Unknown,34,Operations,78868,280.8344708186657,11.27554352721948,5.830951894845301,3.5553480614894135,Medium,Middle
216,George Martinez,24,IT,59371,243.6616506551657,10.991578013744656,4.898979485566356,3.2188758248682006,Medium,Young
998,Alice Garcia,43,IT,59009,242.9176815301842,10.985462200051215,6.557438524302,3.784189633918261,Medium,Middle
788,Hannah Brown,47,IT,80026,282.88867068159516,11.290119356715705,6.855654600401044,3.871201010907891,High,Senior
157,Diana Jones,49,Finance,42149,205.30221625691235,10.648989963430001,7.0,3.912023005428146,Low,Senior
454,George Davis,48,Operations,94041,306.6610506732148,11.45149676997358,6.928203230275509,3.8918202981106265,High,Senior
1963,John Garcia,35,IT,39752,199.37903600930565,10.590440588932745,5.916079783099616,3.58351893845611,Low,Middle
491,Alice Brown,46,Finance,113588,337.02818873204063,11.64034194959485,6.782329983125268,3.8501476017100584,High,Senior
902,Ethan Williams,57,Operations,91001,301.66372005927394,11.418636763279451,7.54983443527075,4.060443010546419,High,Senior
427,Hannah Miller,37,Sales,89353,298.91972166452985,11.400361287352736,6.082762530298219,3.6375861597263857,High,Middle
106,John Brown,54,Sales,76819,277.1624072633228,11.249220301899896,7.3484692283495345,4.007333185232471,Medium,Senior
190,Charlie Miller,58,Operations,56160,236.981011897578,10.935977844808969,7.615773105863909,4.07753744390572,Medium,Senior
293,Ethan Smith,59,Finance,60682,246.33716731342025,11.013418871923953,7.681145747868608,4.0943445622221,Medium,Senior
469,Charlie Jones,64,Marketing,58602,242.07849966488143,10.978541168793958,8.0,4.174387269895637,Medium,Senior
531,Diana Garcia,40,HR,117527,342.8221113055574,11.674431882050262,6.324555320336759,3.713572066704308,High,Middle
396,George Miller,47,HR,96918,311.3165591484012,11.481630857089367,6.855654600401044,3.871201010907891,High,Senior
925,Unknown,59,Operations,36530,191.12822920751398,10.505916494175118,7.681145747868608,4.0943445622221,Low,Senior
1617,Diana Johnson,52,IT,92946,304.8704642959039,11.439784717211836,7.211102550927978,3.970291913552122,High,Senior
1631,Fiona Rodriguez,49,Sales,77701,278.7489910295641,11.26063627605021,7.0,3.912023005428146,Medium,Senior
9,Alice Davis,44,Sales,45398,213.0680642423918,10.723245357355136,6.6332495807108,3.8066624897703196,Low,Middle
693,Charlie Miller,35,Sales,40258,200.6439632782407,10.603088860335872,5.916079783099616,3.58351893845611,Low,Middle
1920,Alice Williams,38,Sales,115445,339.7719823646441,11.656558167149072,6.164414002968976,3.6635616461296463,High,Middle
67,George Miller,52,HR,34114,184.69975636150687,10.437492449249524,7.211102550927978,3.970291913552122,Low,Senior
884,Fiona Williams,32,Marketing,43565,208.72230355187247,10.682032308608301,5.656854249492381,3.4965075614664802,Low,Middle
249,Alice Jones,53,HR,49201,221.812984290821,10.803689552060698,7.280109889280518,3.9889840465642745,Low,Senior
365,Diana Brown,55,Sales,65262,255.46428321783065,11.086180539057013,7.416198487095663,4.02535169073515,Medium,Senior
160,Charlie Smith,54,Finance,101031,317.8537399496819,11.523192577326006,7.3484692283495345,4.007333185232471,High,Senior
686,John Jones,58,Finance,72092,268.4995344502482,11.185712231181116,7.615773105863909,4.07753744390572,Medium,Senior
708,Jane Williams,24,HR,63787,252.56088374884976,11.063320363867863,4.898979485566356,3.2188758248682006,Medium,Young
893,Fiona Smith,54,Marketing,78563,280.2909202953246,11.271668858229091,7.3484692283495345,4.007333185232471,Medium,Senior
243,Bob Davis,47,Operations,86549,294.1921141023328,11.368477560604354,6.855654600401044,3.871201010907891,High,Senior
516,Charlie Rodriguez,41,Finance,80979,284.568093784247,11.301957489586153,6.4031242374328485,3.7376696182833684,High,Middle
543,Ethan Garcia,60,HR,119489,345.67180966922945,11.6909879648438,7.745966692414834,4.110873864173311,High,Senior
358,Hannah Garcia,29,IT,41871,204.62404550785325,10.642372624769926,5.385164807134504,3.4011973816621555,Low,Young
24,Jane Rodriguez,54,Finance,34470,185.6609813611896,10.44787366982408,7.3484692283495345,4.007333185232471,Low,Senior
281,Alice Williams,35,IT,86273,293.72265830201115,11.365283557055797,5.916079783099616,3.58351893845611,High,Middle
639,Ethan Smith,58,Finance,70372,265.2772134956186,11.16156494585521,7.615773105863909,4.07753744390572,Medium,Senior
324,Diana Miller,54,HR,54226,232.86476762275566,10.900934218371287,7.3484692283495345,4.007333185232471,Medium,Senior
576,Hannah Davis,25,Operations,87941,296.54847833027236,11.384432785255356,5.0,3.258096538021482,High,Young
145,Bob Smith,53,HR,74139,272.2847773930816,11.213710476704723,7.280109889280518,3.9889840465642745,Medium,Senior
676,Alice Miller,42,Sales,46029,214.5437018418392,10.737048636811288,6.48074069840786,3.7612001156935624,Low,Middle
738,Ethan Martinez,38,Operations,92812,304.65061956280346,11.438341995170033,6.164414002968976,3.6635616461296463,High,Middle
31,Charlie Jones,37,Operations,45577,213.48770456398654,10.727180422942716,6.082762530298219,3.6375861597263857,Low,Middle
720,Jane Johnson,23,IT,87418,295.6653513687392,11.378467929321909,4.795831523312719,3.1780538303479458,High,Young
695,John Smith,22,Sales,111580,334.0359262115379,11.622506063538962,4.69041575982343,3.1354942159291497,High,Young
273,John Martinez,23,Finance,78231,279.6980514769454,11.267434049992112,4.795831523312719,3.1780538303479458,Medium,Young
663,Hannah Jones,53,IT,45379,213.02347288503208,10.722826758333833,7.280109889280518,3.9889840465642745,Low,Senior
276,Fiona Johnson,62,Sales,71323,267.06366282218175,11.174988155653937,7.874007874011811,4.143134726391533,Medium,Senior
